FirstYear,-,SecondYear,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Season
1849,-,1850,0,0,0,3.14,8.66,6.2,8.34,1.77,4.53,0.46,0,0,33.1
1850,-,1851,0,0,0.33,0,0.92,1.05,0.72,0.54,1.94,1.23,0.67,0.02,7.42
1851,-,1852,0,0.02,1.03,0.21,2.21,7.1,0.58,0.14,6.68,0.26,0.32,0,18.55
1852,-,1853,0,0,0,0.8,5.31,13.2,3.92,1.42,4.86,5.37,0.38,0,35.26
1853,-,1854,0,0.04,0.46,0.12,2.28,2.32,3.88,8.04,3.51,3.12,0.02,0.08,23.87
1854,-,1855,0,0.01,0.15,2.43,0.34,0.87,3.67,4.77,4.64,4.99,1.88,0.08,23.83
1855,-,1856,0,0,0,0,0.67,5.76,9.4,0.5,1.6,2.94,0.76,0.03,21.66
1856,-,1857,0.02,0,0.07,0.45,2.79,3.75,2.45,8.59,1.62,0,0.05,0.12,19.91
1857,-,1858,0,0.05,0,0.93,3.01,4.14,4.36,1.83,5.55,1.55,0.34,0.05,21.81
1858,-,1859,0.05,0.16,0,2.74,0.69,6.14,1.28,6.32,3.02,0.27,1.55,0,22.22
1859,-,1860,0,0.02,0.03,0.05,7.28,1.57,1.64,1.6,3.99,3.14,2.86,0.09,22.27
1860,-,1861,0.21,0,0,0.91,0.58,6.16,2.47,3.72,4.08,0.51,1,0.08,19.72
1861,-,1862,0,0,0.02,0,4.1,9.54,24.36,7.53,2.2,0.73,0.74,0.05,49.27
1862,-,1863,0,0,0,0.52,0.15,2.35,3.63,3.19,2.06,1.61,0.23,0,13.74
1863,-,1864,0,0,0.03,0,2.55,1.8,1.83,0,1.52,1.57,0.78,0,10.08
1864,-,1865,0,0.21,0.01,0.13,6.68,8.91,5.14,1.34,0.74,0.94,0.63,0,24.73
1865,-,1866,0,0,0.24,0.26,4.19,0.58,10.88,2.12,3.04,0.12,1.46,0.04,22.93
1866,-,1867,0,0,0.11,0,3.35,15.16,5.16,7.2,1.58,2.36,0,0,34.92
1867,-,1868,0,0,0.04,0.2,3.41,10.69,9.5,6.13,6.3,2.31,0.03,0.23,38.84
1868,-,1869,0,0,0,0.15,1.18,4.34,6.35,3.9,3.14,2.19,0.08,0.02,21.35
1869,-,1870,0,0,0.12,1.29,1.19,4.31,3.89,4.78,2,1.53,0.2,0,19.31
1870,-,1871,0,0,0.03,0,0.43,3.38,3.07,3.76,1.31,1.89,0.23,0.01,14.11
1871,-,1872,0,0.02,0,0.07,2.81,14.36,4,6.9,1.59,0.81,0.18,0.04,30.78
1872,-,1873,0.01,0,0.04,0.11,2.79,5.95,1.58,3.94,0.79,0.43,0,0.02,15.66
1873,-,1874,0.01,0.08,0,0.83,1.16,9.72,5.66,2.21,3.36,0.9,0.66,0.14,24.73
1874,-,1875,0,0,0.02,2.69,6.55,0.33,8.01,0.32,1.3,0.1,0.22,1.02,20.56
1875,-,1876,0,0,0,0.24,7.27,4.15,7.55,4.92,5.49,1.29,0.24,0.04,31.19
1876,-,1877,0.01,0.01,0.38,3.36,0.25,0,4.32,1.18,1.08,0.26,0.18,0.01,11.04
1877,-,1878,0.02,0,0,0.65,1.57,2.66,11.97,12.52,4.56,1.06,0.16,0.01,35.18
1878,-,1879,0.01,0,0.55,1.27,0.57,0.58,3.52,4.9,8.75,1.89,2.35,0.05,24.44
1879,-,1880,0.01,0.02,0,0.78,4.03,4.46,2.23,1.87,2.08,10.06,1.12,0,26.66
1880,-,1881,0,0,0,0.05,0.33,12.33,8.69,4.65,0.9,2,0.22,0.69,29.86
1881,-,1882,0,0,0.25,0.54,1.94,3.85,1.68,2.96,3.45,1.22,0.21,0.04,16.14
1882,-,1883,0,0,0.26,2.66,4.18,2.01,1.92,1.04,3.01,1.51,3.52,0.01,20.12
1883,-,1884,0,0,0.42,1.42,1.6,0.92,3.94,6.65,8.24,6.33,0.23,2.57,32.32
1884,-,1885,0,0.04,0.33,2.55,0.26,7.68,2.53,0.3,1.01,3.17,0.04,0.19,18.1
1885,-,1886,0.06,0,0.11,0.72,11.78,4.99,7.42,0.24,2.07,5.28,0.37,0.01,33.05
1886,-,1887,0.23,0,0.01,1.48,0.84,2.07,1.9,9.24,0.84,2.3,0.06,0.07,19.04
1887,-,1888,0,0.01,0.29,0,0.99,3.34,6.81,0.94,3.6,0.11,0.38,0.27,16.74
1888,-,1889,0.01,0.01,0.98,0.13,3.99,5.8,1.28,0.72,7.78,0.96,2.17,0.03,23.86
1889,-,1890,0.01,0,0,7.28,2.9,13.81,9.61,5.16,4.73,1.18,1.07,0.1,45.85
1890,-,1891,0.02,0,0.31,0,0,3.25,0.98,7.26,1.96,2.44,1.25,0.11,17.58
1891,-,1892,0.1,0.02,0.77,0.04,0.56,5.62,2.42,2.9,2.85,1.39,1.86,0,18.53
1892,-,1893,0,0,0.02,1.65,3.91,5.08,3.05,2.75,4.08,1.03,0.15,0.03,21.75
